id,name,name_scientific,description,itis_id,wikipedia_id,picture_file_name,picture_content_type,picture_file_size,picture_updated_at,legacy_id,food_group,food_subgroup,food_type,created_at,updated_at,creator_id,updater_id,export_to_afcdb,category,ncbi_taxonomy_id,export_to_foodb,public_id,allergen_code,allergen_rating,allergens_detected,allergen_category
11,Cashew nut,Anacardium occidentale,"The cashew, or caju, is a small tree native to Brazil. Cashew nuts are the seeds of the cashew apple, and are found in the grey bump at the end of the fruit. The cashew apple itself is sweet, soft and juicy.Cashews are usually sold roasted and salted and eaten as a snack.",28793.0,Cashew_nut,11.jpg,image/jpeg,670639.0,2012-04-20 09:29:53 UTC,11.0,Nuts,Nuts,Type 1,2011-02-09 00:37:15 UTC,2019-05-14 18:04:13 UTC,,,False,specific,171929.0,True,FOOD00011,tree_nuts,100,tree_nuts,Nuts
15,Wild celery,Apium graveolens,"Wild celery is a common name for several plants Wild celery may refer to Wild growing forms of celery, Apium graveolens Angelica archangelica, cultivated as a vegetable and medicinal plant Lovage, Levisticum officinale, sometimes known as wild celery Vallisneria americana, an aquatic plant in the Hydrocharitaceae family",182184.0,Wild celery,15.jpg,image/jpeg,42828.0,2012-04-23 10:40:23 UTC,15.0,Herbs and Spices,Spices,Type 1,2011-02-09 00:37:15 UTC,2019-05-14 18:04:13 UTC,,2.0,False,specific,4045.0,True,FOOD00015,celery,100,celery,Celery
16,Peanut,Arachis hypogaea,"The peanut, also known as the groundnut and the goober and taxonomically classified as <i>Arachis hypogaea</i>, is a legume crop grown mainly for its edible seeds. It is widely grown in the tropics and subtropics, being important to both small and large commercial producers. It is classified as both a grain legume and, because of its high oil content, an oil crop. World annual production of shelled peanuts was 42 million tonnes in 2014. Atypically among crop plants, peanut pods develop underground rather than aboveground. It is this characteristic that the botanist Linnaeus used to assign the specific name <i>hypogaea</i>, which means ""under the earth."" (Wikipedia)",26463.0,Mr. Peanut,16.jpg,image/jpeg,285702.0,2012-04-20 09:29:07 UTC,16.0,Nuts,Nuts,Type 1,2011-02-09 00:37:15 UTC,2019-05-14 18:04:13 UTC,,,False,specific,3818.0,True,FOOD00016,peanut,100,peanut,Peanuts
22,Oat,Avena sativa,"The common oat (Avena sativa) is a species of cereal grain grown for its seed, which is known by the same name (usually in the plural, unlike other grains). While oats are suitable for human consumption as oatmeal and rolled oats, one of the most common uses is as livestock feed.",41459.0,Oat,22.jpg,image/jpeg,77135.0,2012-04-20 09:32:23 UTC,22.0,Cereals and cereal products,Cereals,Type 1,2011-02-09 00:37:16 UTC,2019-05-14 18:04:14 UTC,,,True,specific,4498.0,True,FOOD00022,gluten,100,gluten,Cereals containing gluten
24,Brazil nut,Bertholletia excelsa,"The Brazil nut (Bertholletia excelsa) is a South American tree in the family Lecythidaceae, and also the name of the tree's commercially harvested edible seed.",21989.0,Brazil nut,24.jpg,image/jpeg,32804.0,2012-04-20 09:40:52 UTC,24.0,Nuts,Nuts,Type 1,2011-02-09 00:37:16 UTC,2019-05-14 18:04:14 UTC,,,False,specific,3645.0,True,FOOD00024,tree_nuts,100,tree_nuts,Nuts
27,Chinese mustard,Brassica juncea,"Brassica juncea, also known as mustard greens, Indian mustard, Chinese mustard, and leaf mustard, is a species of mustard plant. Subvarieties include southern giant curled mustard, which resembles a headless cabbage such as kale, but with a distinct horseradish-mustard flavor. It is also known as green mustard cabbage.",23059.0,Brassica juncea,27.jpg,image/jpeg,69555.0,2012-04-20 09:36:31 UTC,27.0,Vegetables,Cabbages,Type 1,2011-02-09 00:37:16 UTC,2019-05-14 18:04:14 UTC,,,False,specific,3707.0,True,FOOD00027,mustard,100,mustard,Mustard
44,Pecan nut,Carya illinoinensis,"The pecan (Carya illinoinensis) are the fruit of a kind of hickory tree, native to North America and Mexico. Pecans were one of the most recently domesticated major crops. Although wild pecans were well known among native and colonial Americans as a delicacy, the commercial growing of pecans in the United States did not begin until the 1880s. Today, the U.S. produces between 80% and 95% of the world's pecans, with an annual crop of 150–200 thousand tons.

In 100 g, pecans provide 691 Calories and over 100% of the Daily Value (DV) for total fat. Pecans are a rich source of dietary fiber (38% DV), manganese (214% DV), magnesium (34% DV), phosphorus (40% DV), zinc (48% DV) and thiamin (57% DV).[20] Pecans are also a good source (10-19% DV) of protein, iron, and B vitamins. Their fat content consists mainly of monounsaturated fatty acids, mainly oleic acid (57% of total fat), and the polyunsaturated fatty acid linoleic acid (30% of total fat) [Wikipedia]",19234.0,Pecan_nut,44.jpg,image/jpeg,40083.0,2012-04-20 09:33:57 UTC,47.0,Nuts,Nuts,Type 1,2011-02-09 00:37:17 UTC,2019-05-14 18:04:14 UTC,,,False,specific,32201.0,True,FOOD00044,tree_nuts,100,tree_nuts,Nuts
62,Common hazelnut,Corylus avellana,"Corylus avellana, the Common Hazel, is a species of hazel native to Europe and western Asia, from the British Isles south to Iberia, Greece, Turkey and Cyprus, north to central Scandinavia, and east to the central Ural Mountains, the Caucasus, and northwestern Iran. It is an important component of the hedgerows that were the traditional field boundaries in lowland England. The wood was traditionally grown as coppice, the poles cut being used for wattle-and-daub building and agricultural fencing. Common Hazel is cultivated for its nuts. The name hazelnut applies to the nuts of any of the species of the genus Corylus. This hazelnut or cob nut, the kernel of the seed, is edible and used raw or roasted, or ground into a paste. The cob is round, compared with the longer filbert nut.",501642.0,Corylus avellana,62.jpg,image/jpeg,30284.0,2012-04-20 09:38:19 UTC,66.0,Nuts,Nuts,Type 1,2011-02-09 00:37:18 UTC,2019-05-14 18:04:15 UTC,,,False,specific,13451.0,True,FOOD00062,tree_nuts,100,tree_nuts,Nuts
85,Soy bean,Glycine max,"The soybean (US) or soya bean (UK) (Glycine max) is a species of legume native to East Asia, widely grown for its edible bean which has numerous uses. The plant is classed as an oilseed rather than a pulse by the UN Food and Agricultural Organization (FAO). Fat-free (defatted) soybean meal is a significant and cheap source of protein for animal feeds and many prepackaged meals; soy vegetable oil is another product of processing the soybean crop. For example, soybean products such as textured vegetable protein (TVP) are ingredients in many meat and dairy analogues. Soybeans produce significantly more protein per acre than most other uses of land. Traditional nonfermented food uses of soybeans include soy milk, and from the latter tofu and tofu skin. Fermented foods include soy sauce, fermented bean paste, natto, and tempeh, among others. The oil is used in many industrial applications. The main producers of soy are the United States (35%), Brazil (27%), Argentina (19%), China (6%) and India (4%). The beans contain significant amounts of phytic acid, alpha-linolenic acid, and isoflavones.",26716.0,Soybean,85.jpg,image/jpeg,166339.0,2012-04-20 09:32:19 UTC,91.0,Soy,Soy,Type 1,2011-02-09 00:37:19 UTC,2019-05-14 18:04:16 UTC,,,False,specific,3847.0,True,FOOD00085,soy,100,soy,Soybeans
88,Barley,Hordeum vulgare,"Barley (Hordeum vulgare L. ), a member of the grass family, is a major cereal grain. Important uses include use as animal fodder, as a source of fermentable material for beer and certain distilled beverages, and as a component of various health foods. It is used in soups and stews, and in barley bread of various cultures. Barley grains are commonly made into malt in a traditional and ancient method of preparation. In a 2007 ranking of cereal crops in the world, barley was fourth both in terms of quantity produced (136 million tons) and in area of cultivation (566,000 km²).",40874.0,Barley,88.jpg,image/jpeg,306084.0,2012-04-20 09:30:44 UTC,95.0,Cereals and cereal products,Cereals,Type 1,2011-02-09 00:37:19 UTC,2019-05-14 18:04:16 UTC,,,True,specific,4513.0,True,FOOD00088,gluten,100,gluten,Cereals containing gluten
